Location	Date	VW_30cm	VW_60cm	VW_90cm	VW_120cm	VW_150cm	T_30cm	T_60cm	T_90cm	T_120cm	T_150cm
CAF217	04/20/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	04/21/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	04/22/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	04/23/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	04/24/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	04/25/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	04/26/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	04/27/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	04/28/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	04/29/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	04/30/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	05/01/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	05/02/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	05/03/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	05/04/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	05/05/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	05/06/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF217	05/07/2007	0.302	0.408	0.428	0.408	0.427	11.97	9.2	8.26	8	7.6
CAF217	05/08/2007	0.301	0.409	0.428	0.408	0.427	12.33	9.54	8.31	8.03	7.6
CAF217	05/09/2007	0.3	0.409	0.428	0.408	0.427	13.39	10.1	8.47	8.1	7.7
CAF217	05/10/2007	0.296	0.409	0.429	0.408	0.427	13.67	10.59	8.73	8.23	7.73
CAF217	05/11/2007	0.293	0.41	0.429	0.408	0.427	14.25	10.99	8.99	8.36	7.82
CAF217	05/12/2007	0.287	0.41	0.429	0.408	0.427	14.66	11.38	9.25	8.54	7.92
CAF217	05/13/2007	0.282	0.41	0.429	0.408	0.428	13.92	11.66	9.5	8.7	8.03
CAF217	05/14/2007	0.276	0.409	0.429	0.408	0.428	12.94	11.57	9.71	8.86	8.15
CAF217	05/15/2007	0.273	0.408	0.429	0.408	0.428	13.73	11.49	9.8	9.03	8.27
CAF217	05/16/2007	0.268	0.407	0.429	0.408	0.428	14.52	11.71	9.9	9.13	8.39
CAF217	05/17/2007	0.262	0.407	0.428	0.407	0.428	14.63	11.96	10.03	9.24	8.5
CAF217	05/18/2007	0.257	0.406	0.428	0.407	0.428	14.63	12.17	10.18	9.36	8.6
CAF217	05/19/2007	0.253	0.405	0.428	0.407	0.428	14.61	12.31	10.33	9.49	8.71
CAF217	05/20/2007	0.249	0.405	0.427	0.407	0.428	13.29	12.27	10.47	9.63	8.82
CAF217	05/21/2007	0.246	0.404	0.427	0.407	0.428	11.69	11.93	10.5	9.72	8.92
CAF217	05/22/2007	0.244	0.403	0.427	0.406	0.428	10.8	11.35	10.44	9.8	9
CAF217	05/23/2007	0.245	0.401	0.426	0.406	0.428	11.53	11.05	10.28	9.8	9.1
CAF217	05/24/2007	0.245	0.4	0.426	0.405	0.428	12.09	11.07	10.18	9.8	9.1
CAF217	05/25/2007	0.244	0.398	0.425	0.405	0.428	12.11	11.13	10.1	9.8	9.2
CAF217	05/26/2007	0.244	0.396	0.425	0.404	0.428	12.71	11.22	10.14	9.8	9.2
CAF217	05/27/2007	0.245	0.395	0.424	0.404	0.428	13.42	11.44	10.2	9.8	9.2
CAF217	05/28/2007	0.242	0.394	0.424	0.404	0.427	12.12	11.58	10.29	9.8	9.2
CAF217	05/29/2007	0.24	0.39	0.424	0.403	0.427	11.57	11.13	10.3	9.89	9.3
CAF217	05/30/2007	0.241	0.386	0.423	0.403	0.427	12.66	11.13	10.24	9.9	9.3
CAF217	05/31/2007	0.242	0.381	0.423	0.402	0.427	13.69	11.41	10.23	9.9	9.3
CAF217	06/01/2007	0.242	0.374	0.422	0.402	0.427	14.56	11.8	10.35	9.9	9.4
CAF217	06/02/2007	0.241	0.365	0.421	0.402	0.427	15.38	12.24	10.5	9.95	9.4
