Location	Date	VW_30cm	VW_60cm	VW_90cm	VW_120cm	VW_150cm	T_30cm	T_60cm	T_90cm	T_120cm	T_150cm
CAF201	04/20/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	04/21/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	04/22/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	04/23/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	04/24/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	04/25/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	04/26/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	04/27/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	04/28/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	04/29/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	04/30/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	05/01/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	05/02/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	05/03/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	05/04/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	05/05/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	05/06/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	05/07/2007	0.484	0.501	0.417	0.445	0.441	10.13	8.5	7.9	7.7	7.6
CAF201	05/08/2007	0.481	0.502	0.417	0.445	0.44	10.4	8.74	7.96	7.7	7.6
CAF201	05/09/2007	0.477	0.503	0.416	0.446	0.44	11.38	9.17	8.08	7.71	7.65
CAF201	05/10/2007	0.472	0.504	0.416	0.448	0.44	11.52	9.59	8.29	7.8	7.7
CAF201	05/11/2007	0.466	0.505	0.416	0.45	0.44	12	9.91	8.5	7.91	7.74
CAF201	05/12/2007	0.458	0.506	0.416	0.451	0.44	12.27	10.22	8.69	8.03	7.8
CAF201	05/13/2007	0.451	0.507	0.415	0.451	0.441	11.94	10.45	8.88	8.15	7.9
CAF201	05/14/2007	0.443	0.507	0.416	0.452	0.441	11.06	10.39	9.04	8.28	7.98
CAF201	05/15/2007	0.435	0.507	0.416	0.452	0.441	11.45	10.32	9.1	8.4	8.06
CAF201	05/16/2007	0.423	0.507	0.415	0.452	0.441	12.01	10.44	9.16	8.49	8.14
CAF201	05/17/2007	0.413	0.507	0.415	0.452	0.441	12.19	10.62	9.25	8.55	8.21
CAF201	05/18/2007	0.404	0.508	0.415	0.452	0.441	12.18	10.77	9.36	8.63	8.3
CAF201	05/19/2007	0.399	0.508	0.414	0.453	0.441	12.29	10.88	9.46	8.71	8.37
CAF201	05/20/2007	0.396	0.508	0.414	0.453	0.441	11.48	10.86	9.56	8.8	8.43
CAF201	05/21/2007	0.396	0.507	0.413	0.453	0.442	10.52	10.6	9.6	8.9	8.5
CAF201	05/22/2007	0.396	0.506	0.414	0.454	0.444	9.95	10.18	9.54	8.9	8.59
CAF201	05/23/2007	0.397	0.506	0.414	0.454	0.444	10.63	10.06	9.42	8.9	8.6
CAF201	05/24/2007	0.396	0.506	0.414	0.453	0.444	11.16	10.17	9.4	8.9	8.7
CAF201	05/25/2007	0.395	0.507	0.414	0.453	0.445	10.95	10.29	9.4	8.93	8.7
CAF201	05/26/2007	0.393	0.507	0.414	0.453	0.445	11.12	10.38	9.45	9	8.7
CAF201	05/27/2007	0.392	0.507	0.414	0.453	0.445	11.83	10.52	9.5	9	8.78
CAF201	05/28/2007	0.39	0.507	0.414	0.453	0.445	11.06	10.62	9.6	9.02	8.8
CAF201	05/29/2007	0.387	0.506	0.415	0.454	0.446	10.87	10.25	9.6	9.1	8.85
CAF201	05/30/2007	0.386	0.506	0.414	0.454	0.446	11.43	10.35	9.58	9.1	8.9
CAF201	05/31/2007	0.382	0.507	0.414	0.453	0.446	11.96	10.58	9.6	9.1	8.9
CAF201	06/01/2007	0.377	0.507	0.414	0.453	0.447	12.56	10.85	9.68	9.16	8.92
CAF201	06/02/2007	0.372	0.508	0.413	0.453	0.447	13.25	11.2	9.83	9.2	9
CAF201	06/03/2007	0.367	0.509	0.413	0.454	0.447	13.94	11.53	9.97	9.29	9
CAF201	06/04/2007	0.368	0.509	0.413	0.454	0.446	14.77	11.93	10.17	9.37	9.09
CAF201	06/05/2007	0.358	0.51	0.412	0.454	0.446	13.94	12.3	10.4	9.5	9.14
CAF201	06/06/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	06/07/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	06/08/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	06/09/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	06/10/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	06/11/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	06/12/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	06/13/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	06/14/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF201	06/15/2007	0.359	0.504	0.409	0.456	0.446	12.88	11.6	10.55	10	9.7
CAF201	06/16/2007	0.358	0.504	0.409	0.456	0.446	12.98	11.76	10.61	10	9.7
CAF201	06/17/2007	0.356	0.504	0.409	0.456	0.446	12.41	11.78	10.68	10.02	9.78
CAF201	06/18/2007	0.355	0.502	0.409	0.456	0.446	12.21	11.65	10.7	10.1	9.8
CAF201	06/19/2007	0.353	0.501	0.409	0.456	0.446	12.39	11.63	10.7	10.1	9.8
CAF201	06/20/2007	0.352	0.499	0.409	0.456	0.446	13.18	11.74	10.7	10.1	9.88
CAF201	06/21/2007	0.35	0.497	0.41	0.457	0.446	13.98	12.05	10.76	10.19	9.9
CAF201	06/22/2007	0.348	0.494	0.411	0.457	0.446	14.08	12.37	10.91	10.2	9.9
CAF201	06/23/2007	0.346	0.49	0.412	0.457	0.445	14.1	12.57	11.06	10.3	9.99
CAF201	06/24/2007	0.344	0.487	0.412	0.458	0.445	13.83	12.68	11.21	10.38	10
CAF201	06/25/2007	0.343	0.485	0.414	0.459	0.446	13.48	12.68	11.3	10.46	10.1
