Location	Date	VW_30cm	VW_60cm	VW_90cm	VW_120cm	VW_150cm	T_30cm	T_60cm	T_90cm	T_120cm	T_150cm
CAF135	04/20/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	04/21/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	04/22/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	04/23/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	04/24/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	04/25/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	04/26/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	04/27/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	04/28/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	04/29/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	04/30/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/01/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/02/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/03/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/04/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/05/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/06/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/07/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/08/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/09/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/10/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/11/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/12/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/13/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/14/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/15/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/16/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/17/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/18/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/19/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/20/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/21/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/22/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/23/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/24/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/25/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/26/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/27/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/28/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/29/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/30/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	05/31/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/01/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/02/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/03/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/04/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/05/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/06/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/07/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/08/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/09/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/10/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/11/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/12/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/13/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/14/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/15/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/16/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/17/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/18/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/19/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/20/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/21/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/22/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/23/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/24/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/25/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/26/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/27/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/28/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/29/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	06/30/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/01/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/02/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/03/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/04/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/05/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/06/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/07/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/08/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/09/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/10/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/11/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/12/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/13/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/14/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/15/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/16/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/17/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/18/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/19/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/20/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/21/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/22/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/23/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/24/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/25/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/26/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/27/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/28/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/29/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/30/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	07/31/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/01/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/02/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/03/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/04/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/05/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/06/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/07/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/08/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/09/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/10/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/11/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/12/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/13/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/14/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/15/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/16/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/17/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/18/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/19/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/20/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/21/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/22/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/23/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/24/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/25/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/26/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/27/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/28/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/29/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CAF135	08/30/2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
